review_id,stars,date,title,text,version,vote_count,app_id,app_name
13609745743,5,2026-01-08,I LOVE Nuuly,I used to shop online all the time & occasionally in store. Now I have Zero desire to! Nuuly is the best! I feel more put together and more adventurous with my style because I don’t have to keep it. I’m a Nuuly gal for life!,1.61.0,0,1511548818,Nuuly
13594249727,5,2026-01-04,Keeper!,Loved this vest! Perfect for chilly nighttime walks to the brewery in SoCal!,1.61.0,0,1511548818,Nuuly
13594099072,5,2026-01-04,Love Nuuly,It’s so fun to refresh my wardrobe and swap new items in and out from Nuuly. It’s also a great way to try “on trend” items that you’re not too sure about!,1.61.0,0,1511548818,Nuuly
13577573003,1,2025-12-31,Horrible,They’re never on time and there is never any sizes left of anything you want. Also ups is no help when you need to contact them about the package. It’s too expensive every month to never have anything in stock,1.61.0,1,1511548818,Nuuly
13557616547,5,2025-12-26,Holiday sweater,"Has tinsel sewn into the yarn, fun festive sweater.",1.61.0,0,1511548818,Nuuly
13538608596,5,2025-12-21,Faux Fur Jacket,This jacket is fire.,1.61.0,0,1511548818,Nuuly
13525692703,5,2025-12-17,Love it!,I could keep this dress on forever!,1.61.0,0,1511548818,Nuuly
13522276845,5,2025-12-16,So many compliments,Loving this warm coat and received multiple compliments - decided to buy,1.61.0,0,1511548818,Nuuly
13514724038,3,2025-12-14,Very unorganized,"I really wish they’d figure out how to organize their clothes better. It’s impossible to find what you’re looking for. Additionally, even with “show available clothes” they still show things unavailable. Huge waste of time.",1.61.0,0,1511548818,Nuuly
13498809525,5,2025-12-10,LOVE THESE,I’m 5’ 10” and have really long legs so finding a good pair of pants is extremely hard! These are so flattering and I received so many compliments.,1.61.0,0,1511548818,Nuuly
13488365541,5,2025-12-07,Great fit,Loved the feel of these pants and the fit!,1.60.0,0,1511548818,Nuuly
13482869175,5,2025-12-06,Monthly Treat,It took a minute for me to love Nuuly and the time commitment I must admit but now that I’ve gotten it down it’s such a treat every month. My only wish is that there was a timer on the items you add to your cart to give you some time to choose your box. It’s the worst when you finally get to picking your 6th item only to see that the item you wanted most is now not available! Otherwise love it.,1.60.0,0,1511548818,Nuuly
13463766775,5,2025-12-01,Nuuly is the best,They have the best sizing and style options in the rental clothing sphere. Everything feels more modern and has a wider range of unique designer.,1.60.0,0,1511548818,Nuuly
13453199931,5,2025-11-28,Bought it!,"Loved it so much, I bought it!",1.60.0,0,1511548818,Nuuly
13440216840,5,2025-11-25,Great fall dress!,Beautiful colors on corduroy make this dress with pockets easy to throw on with boots. Would be great with tights when it’s really cold.,1.60.0,0,1511548818,Nuuly
13439933111,1,2025-11-25,Not enough inventory,This is my second month and it was a big let down. The selection and quality is great however nothing I had saved was available (all 6 items and I am flexible on sizes). After making all new selections apparently one of the items I picked wasn’t available so they subbed it for something else. I noticed 2 hours after placing my order but was told nothing could be done. They did refund me $17 so that was nice.,1.60.0,0,1511548818,Nuuly
